State,Total_EV_2026,Stations,Avg_EV_per_Station,Stations_Needed,Gap
Uttar Pradesh,575646.830925105,87.0,551.3858533765373,11513.0,11426.0
Maharashtra,421647.0842384239,259.0,135.6650850187979,8433.0,8174.0
Karnataka,325149.48929816403,134.0,202.20739384214184,6503.0,6369.0
Rajasthan,186810.72556394158,68.0,228.9347127009088,3736.0,3668.0
Bihar,179514.97028400985,9.0,1662.175650777869,3590.0,3581.0
Tamil Nadu,183081.88505746255,175.0,87.18185002736311,3662.0,3487.0
Gujarat,177468.80253827805,77.0,192.065803612855,3549.0,3472.0
Kerala,173185.86092666586,91.0,158.59511073870502,3464.0,3373.0
Madhya Pradesh,144552.81714605427,20.0,602.3034047752261,2891.0,2871.0
Andhra Pradesh,133813.7160171202,56.0,199.12755359690507,2676.0,2620.0
Delhi,125687.90888356321,126.0,83.1269238647905,2514.0,2388.0
Assam,117405.72121528214,10.0,978.3810101273511,2348.0,2338.0
Odisha,99024.34167714465,38.0,217.158644028826,1980.0,1942.0
Chhattisgarh,83629.54666572541,12.0,580.7607407342043,1673.0,1661.0
Haryana,65532.88275094589,60.0,91.01789270964707,1311.0,1251.0
Punjab,52793.7506405846,24.0,183.31163416869654,1056.0,1032.0
Jharkhand,43218.33328618509,22.0,163.7058079022162,864.0,842.0
West Bengal,28565.82664988826,53.0,44.91482177655387,571.0,518.0
Uttarakhand,26384.59353624978,23.0,95.59635339220934,528.0,505.0
Goa,25547.33225235697,8.0,266.1180442953851,511.0,503.0
Jammu and Kashmir,16710.530909557634,1.0,1392.5442424631362,334.0,333.0
Tripura,13168.860671125905,1.0,1097.4050559271589,263.0,262.0
Chandigarh,9710.329510370844,2.0,404.5970629321185,194.0,192.0
Puducherry,5699.781000923567,2.0,237.49087503848196,114.0,112.0
Himachal Pradesh,3541.2438814837524,6.0,49.18394279838545,71.0,65.0
Manipur,1131.1421146624266,1.0,94.26184288853555,23.0,22.0
Meghalaya,675.8727116248308,1.0,56.3227259687359,14.0,13.0
Mizoram,508.5221281239517,1.0,42.37684401032931,10.0,9.0
DNH and DD,519.5616757345277,1.0,43.296806311210645,10.0,9.0
Andaman & Nicobar Island,257.625309098321,1.0,21.468775758193416,5.0,4.0
Arunachal Pradesh,165.9493544631232,1.0,13.829112871926933,3.0,2.0
Ladakh,88.227589383289,1.0,7.352299115274083,2.0,1.0
Nagaland,2.580894907718734,1.0,2.580894907718734,0.0,-1.0
